News ID,Top Keywords
N10000,"United's,U.S.,Atlanta,Columbus,Crew"
N10001,"socialism',McConnell:,statehood,'full,DC"
N10002,"Home,Damaged,Highlands,North"
N10003,"blames,feminism',husband's,T-shirts,Kamala"
N10004,"History:,Today,1,Aug"
N10005,"Odell,Cullinan,New,Beckham,Royce"
N10006,"Malibu,Packs,V8,454,Ci"
N10007,"senators,GOP,Iran's,seek,Trump"
N10008,"restaurants,Mexican,Lebanon,County,5"
N10009,"preseason,stoppages,NFL,officials,PI"
N10010,"NextEra,,Atlassian,,Depot,,Match,,Nordstom,"
N10011,"Alice,Cooper,Wife,'Death,Rumor"
N10012,"NBA,ideal,spots,landing,agents"
N10013,"UK,Coming,Popular,Target,Brand"
N10014,"MBTA,Line,Day:,Red,Speed"
N10015,"Way,Invest,Retirement,#1"
N10016,"Woike:,Durant's,lineups,Kevin,Dan"
N10017,"Pete,staggering,$7,raised,million"
N10018,"Breakfast,Didn't,Know,Mistakes,Making"
N10019,"Chic,Furniture,Collection,Launched,Driver"
N10020,"enforcement:,budget,ethics,$0,Baltimore's"
N10021,"Museum,Fruit"
N10022,"retires,decades,,Devil's,Tower,familiar"
N10023,"fans,Lonzo's,LaVar,League,Drew"
N10024,"2019:,Sunday's,schedule,,live,watch"
N10025,"printers,Hospital,,doctors,patients,guesswork"
N10026,"Iraqi,home,Rockets,military,personnel"
N10027,"Trump:,begins!',big,'2,Deportation"
N10028,"Democrats,Trump,ask,allegations,hush"
N10029,"Shopify's,Must-See,Conference,Unite,Announcements"
N10030,"Stock?,(BPL),Buckeye,Pick,Investors"
N10031,"commoners,16,married,American,royalty"
N10032,"Best,Stocks,5,Buy,July"
N10033,"home,drive-by,bed,shot,Man"
N10034,"Report:,Rams,draft,Jalen,prospect"
N10035,"minority,grants,wants,fund,$7"
N10036,"children,Tennis,new,lessons,nonprofit"
N10037,"Estes,Colorado,Elk,Park,,Car"
N10038,"Trump,add,fight,question,President"
N10039,"Every-day,space,technologies,program,came"
N10040,"Revealed,She's,Williams,Wendy,Diagnosed"
N10041,"Shown,Porsche,Liveries,Reborn,Stunning"
N10042,"up',ex-champ,239,,UFC,'hang"
N10043,"Phillies:,vs,GameThread,Nationals,162"
N10044,"Preview:,69,Tigers,Indians,Game"
N10045,"predicts,NBA,land,Mitchell,agents"
N10046,"Merger,News,Bad,Sprint,Ambitions"
N10047,"prequel,,Sopranos,Saints,movie,Newark"""
N10048,"insider:,rut,Astros,Stuck,frustrating"
N10049,"Gala,,Jenner,Alex,Met,Rodriguez"
N10050,"Schtup,Peek),(Sneak,List,Fight"
N10051,"Children,Homestead,Presidential,Facility,Migrant"
N10052,"wildfire,risk,National,Forest,restrictions"
N10053,"brainteaser?,viral,penguin,flock,toucans"
N10054,"Shipper,Inside,Project,Walmart's,Choice"
N10055,"overdoses,deputies,Okeechobee,County,investigating"
N10056,"Luka,Samanic,,Spurs,sacrificing,potential"
N10057,"Riding?,Does,Cost,Start"
N10058,"(Exclusive),scene,,filming,star,Marie's"
N10059,"game,Lawrence,""never"",Trevor,sit"
N10060,"prepare,Amazon,surgery,things,bought"
N10061,"Portland,bread,try,researchers,pay"
N10062,"Weekend:,Best,Bets,Entertainment,Working"
N10063,"tragedy,Jarheads,brotherhood,deadly,confront"
N10064,"America.,read?,Maybe!,sexuality,,Everything,'"
N10065,"Flakes:,Today's,Hoiberg,Breakfast,Alex"
N10066,"#PenisOfTheDay,#LateLateLondon,Pics,-,Nature"
N10067,"adapts,Recruits,Gophers,new,rules"
N10068,"date,,vs.,price,,odds,,Fight"
N10069,"dads,Al,,share,memories,Craig"
N10070,"Luka,Jovic,Player,New,Real"
N10071,"Schedule,Women's,Soccer,2019,USF"
N10072,"drags,trade,new,war,China's"
N10073,"Landis,Abuse,Max,Multiple,Sexual"
N10074,"10-year-old,played,police,money,questioned"
N10075,"Watch:,heckler,Dodger,responds,Manny"
N10076,"Mexitaly,coming,project,York,million"
N10077,"Americans,accept,Opinions,happened,|"
N10078,"Devine,Serenades,""Torn"",Natalie,Jimmy"
N10079,"fans,parade,down,,interrupting,forced"
N10080,"Frankie,A's,strong,Montas,rip"
N10081,"four-wheeler,injuries,Point,man,crash"
N10082,"dog,pooch,couple's,Wag,safe"
N10083,"Stars,Hills,,90210',Families,'Beverly"
N10084,"Zumba,Luks,Inspired,instructor,went"
N10085,"GT3,Porsche,Sound,Insane,RSR"
N10086,"Ohio,State,Princeton,defensive,High"
N10087,"proclaims,Orioles,catcher,Red,team"
N10088,"TV,Cisco,doctor,talk,let"
N10089,"Gavin,understand"",Fassler,crash,""battling"
N10090,"Begin,Week,Pools,Opening,Philadelphia"
N10091,"sale;,$2.4M,home,Naples,mansion"
N10092,"haven't,Links:,reached,halfway,point"
N10093,"Trump's,new,deport,'millions',vow"
N10094,"Friday,morning,record,new,Charlotte"
N10095,"recap:,premiere,Fear,Dead,new"
N10096,"fall,California,tree,mysterious,sparks"
N10097,"Rookie,NASCAR's,transitioning,premier,series"
N10098,"NBA,2018/19,Highlights,Baynes,Season"
N10099,"ex-campground,couple.,employee,arrested,fired"
N10100,"Jr.,decision,,reports,transfer,say"
N10101,"Respawn,gun,,new,improvements,Legends'"
N10102,"Houston,Domino's,pizza,pilot,brings"
N10103,"Here's,Burger.,'meatier',tried,new"
N10104,"Placer,Body,Man,Missing,Confluence"
N10105,"op-ed,Pramila,abortion,Jayapal,talks"
N10106,"Perry's,Father's,Actor,Late,Day"
N10107,"China,voice,alarm,tariffs,companies"
N10108,"Letter:,'job,haters','spurious',SC"
N10109,"Watch:,rookie,coach,Chargers,breaks"
N10110,"quiz!,driver's,Kaz,Grala,test"
N10111,"Kughn,,dies,owner,,89,co."
N10112,"reviving,Amtrak,rail,Gulf,Coast"
N10113,"Catherine,new,psychiatrist,evaluate,stand"
N10114,"CineEurope:,Man','Gemini,Look,Extended"
N10115,"Bandaged,Video,Hand,Anderson,Pamela"
N10116,"schedule,,bracket,,scores:,NCAA,tournament"
N10117,"Women's,World,LA,Cup,Party"
N10118,"Generic-Drug,Here's,Lost,43.2%,Manufacturers"
N10119,"Trump,census,citizenship,bemoans,question"
N10120,"Children,Cholesterol,Levels,Lower,Naturally"
N10121,"Bruins,Win,St.,Blues,Cup"
N10122,"Bruins,arbitration,Heinen,salary,negotiations,"
N10123,"bar,new,_,Maine,job"
N10124,"future,Panthers',Roberto,Luongo,decision"
N10125,"RIDES,Fan,RIDICULOUS,Sauber,Mercedes"
N10126,"warrants,arrested,alderman,traffic,St."
N10127,"museum's,architect,revised,comments,Zumthor"
N10128,"Resorts,Stock,Month,Plunged,Wynn"
N10129,"Jail,Miami-Dade,Stinson,Member,Board"
N10130,"Texans?,Nick,Caserio,leave,eager"
N10131,"189,21,Numbers,Wins,Time"
N10132,"RV?,buy,Chevrolet,Suburban"
N10133,"2020,drive:,big,,Kia,bold"
N10134,"Fever,Brighten,House,Cabin,Fight"
N10135,"Agostino,debut,Blues,fired,scoring"
N10136,"Steelers,NFL,T.J.,snubbed,LB"
N10137,"Monday's,police,photo,homicide,City"
N10138,"Recipes,Easy,Mug,Make"
N10139,"uncovered,cocaine,Largest,Philadelphia,bust"
N10140,"Report?,(KSS),Kohl's,Earnings,12.3%"
N10141,"Spieth,,Latest:,No.,trouble,rake"
N10142,"trouble','vision,ignored,turned,sign"
N10143,"box-office,'Avatar',Endgame','Avengers:,rereleased"
N10144,"Spy!,Recently,Husband,Finds,Woman"
N10145,"Testimony:,Drano,Suspect,Chinese,Death"
N10146,"Exclusive:,-,-,China's,Images"
N10147,"Kentucky,new,102,Peerless,classic"
N10148,"FC,Louisville,City,Nashville,beat"
N10149,"Heirloom,Tomato,Pie"
N10150,"Movieclips,Trailers,Trailer,(1994),#1"
N10151,"series-clinching,losers,win,Winners,Raptors'"
N10152,"cities,overrated,instead,10"
N10153,"re-sign,Sharks,one-year,Heed,Tim"
N10154,"Agencies,Auditor,WA,Local,'Unauditable'"
N10155,"Montgomery's,character,Things,Dacre,influenced"
N10156,"Work?,Supplements,Keto,Loss,Faster"
N10157,"Gains:,(GE),Know,Electric,Stock"
N10158,"Slugs,Surgery,Used,Medical,Glue"
N10159,"UK,EU,pitch,PM,31,"
N10160,"Braves,host,Cubs,high-scoring,leaders"
N10161,"Best,Places,Live,50,Costs"
N10162,"McConnell,war,Iran,opens,door"
N10163,"changes?,thread:,Sunday,NBA,away"
N10164,"Miley,Celebrations,,Glass,,Brinkley,Christie"
N10165,"2019,11,000,Conference,worship,students"
N10166,"thumb,black,remove,growing,horn"
N10167,"dead,Caribbean,Princess,ship,sailing"
N10168,"Winston-Salem,Salvation,Hunger',Summer,Packs"
N10169,"9,You're,Lose,50s,Weight"
N10170,"NBA's,Bonanza,Agency,Free"
N10171,"weather:,rain,,storms,Day,Father's"
N10172,"Party!,Draft,Suns,Phoenix"
N10173,"officer,woman,police,assaulting,allegedly"
N10174,"Competition,Want,BMW,M5,M5"
N10175,"Here's,Amazon's,Big,Brands,Oil"
N10176,"Supremacist','You're,Ingraham:,Castro,Joaquin"
N10177,"Tires?,Sam's,America,Change,Club"
N10178,"owner,IPO,doesn't,2019.,CEO,"
N10179,"NBA,2019:,Draft,Williams,Boston"
N10180,"Patriots',Texans,tampering,Easterby,center"
N10181,"Storms,Winds,,Severe,IL,Possible"
N10182,"Dead,Dallas,Speeding,Man,Northeast"
N10183,"America,Needs,War,Middle,East"
N10184,"Diarrhea-Causing,Water',Swimming,California's,'Poop"
N10185,"food,best,$12,comfort,dish"
N10186,"Out:,World's,Chest,Check,Largest"
N10187,"Celebrities,Motherhood!,Moms,Year,Welcome"
N10188,"Superintendent,$244,300,Departing,district,Tom"
N10189,"apologizes,comments,,host,Radio,indefinitely"
N10190,"thriller,veteran,military,Ramsey,psychological"
N10191,"Sandals,$25,Summer,ASAP,-"
N10192,"vs.,buy:,Apple,Better,Microsoft"
N10193,"Democrats,cost,,legality,Trump's,July"
N10194,"survivors,,Iscovitz,,dies,103,Joseph"
N10195,"worker,luggage',criticized,Alaska,Air"
N10196,"NBA,Draft:,players,Iowa's,Jaxson"
N10197,"Giants,Dickerson's,debut,Alex,past"
N10198,"Playland,Pot;,Mike's,New,3"
N10199,"Gemini:,horoscope,-,daily,July"
